Question Number|Question|Choices|Correct Answer|Translation
1|"Σε ποιο σημείο της Μεσογείου βρίσκεται γεωγραφικά η Κύπρος;"|"Α) Νοτιοανατολικά, Β) Βορειοανατολικά, Γ) Βορειοδυτικά, Δ) Νοτιοδυτικά"|1|"В каком месте Средиземного моря географически находится Кипр? А) Юго-восток, В) Северо-восток, Г) Северо-запад, Д) Юго-запад"
2|"Ποια είναι η πιο κοντινή χώρα στην Κύπρο σε απόσταση;"|"Α) Τουρκία, Β) Συρία, Γ) Ισραήλ, Δ) Λίβανος"|0|"Какая страна ближе всего к Кипру? А) Турция, В) Сирия, Г) Израиль, Д) Ливан"
3|"Σε ποια επαρχία βρίσκεται η Πόλη Χρυσοχούς;"|"Α) Πάφου, Β) Κερύνειας, Γ) Λεμεσού, Δ) Αμμοχώστου"|1|"В каком районе находится Полис Хрисохус? А) Пафос, В) Кериния, Г) Лимасол, Д) Фамагуста"
4|"Ποιες είναι οι επίσημες γλώσσες της Κυπριακής Δημοκρατίας;"|"Α) Ελληνικά και τουρκικά, Β) Ελληνικά, αγγλικά και τουρκικά, Γ) Ελληνικά και αγγλικά, Δ) Ελληνικά"|0|"Какие официальные языки в Республике Кипр? А) Греческий и турецкий, В) Греческий, английский и турецкий, Г) Греческий и английский, Д) Греческий"
5|"Πώς λέγεται ο Υπουργός Εξωτερικών της Κυπριακής Δημοκρατίας;"|"Α) Βασίλης Πάλμας, Β) Αννίτα Δημητρίου, Γ) Κωνσταντίνος Κόμπος, Δ) Κωνσταντίνος Ιωάννου"|2|"Как зовут министра иностранных дел Республики Кипр? А) Василис Пальмас, В) Аннита Димитриу, Г) Константинос Комбос, Д) Константинос Иоанну"
6|"Ποιο από τα πιο κάτω δεν είναι παραδοσιακό της Κύπρου;"|"Α) Χαλλούμι, Β) Σιουσιούκκος, Γ) Ζιβανία, Δ) Φέτα"|3|"Что из перечисленного не является традиционным для Кипра? А) Халлуми, В) Сьюсьюкос, Г) Зивания, Д) Фета"
7|"Ποια επαρχία είναι ολόκληρη κατεχόμενη;"|"Α) Πάφου, Β) Κερύνειας, Γ) Αμμοχώστου, Δ) Λευκωσίας"|1|"Какой район полностью оккупирован? А) Пафос, В) Кериния, Г) Фамагуста, Д) Никосия"
8|"Ποιος είναι ο τηλεφωνικός κωδικός της Κύπρου;"|"Α) 369, Β) 357, Γ) 902, Δ) 225"|1|"Какой телефонный код Кипра? А) 369, В) 357, Г) 902, Д) 225"
9|"Πόσο στοιχίζει μια επίσκεψη στον προσωπικό γιατρό του ΓΕΣΥ;"|"Α) 3€, Β) 6€, Γ) 10€, Δ) 0€"|3|"Сколько стоит визит к личному врачу ГЕСИ? А) 3€, В) 6€, Г) 10€, Д) 0€"
10|"Σε ποιον τηλεφωνικό αριθμό θα καλέσετε την αστυνομία;"|"Α) 112, Β) 110, Γ) 100, Δ) 911"|0|"По какому телефонному номеру вы позвоните в полицию? А) 112, В) 110, Г) 100, Д) 911"
11|"Με ποιο μέσο μαζικής μεταφοράς δεν μπορείτε να μεταβείτε από τη Λεμεσό στη Λάρνακα;"|"Α) Αυτοκίνητο, Β) Λεωφορείο, Γ) Τρένο, Δ) Ταξί"|2|"На каком виде общественного транспорта вы не сможете добраться из Лимасола в Ларнаку? А) Автомобиль, В) Автобус, Г) Поезд, Д) Такси"
12|"Πότε έγινε η Κύπρος πλήρες μέλος της Ευρωπαϊκής Ένωσης;"|"Α) 1 Μαΐου 2004, Β) 1 Αυγούστου 2000, Γ) 1 Απριλίου 2000, Δ) 1 Οκτωβρίου 2000"|1|"Когда Кипр стал полноправным членом Европейского Союза? А) 1 мая 2004, В) 1 августа 2000, Г) 1 апреля 2000, Д) 1 октября 2000"
13|"Ποιος διορίζει τους υπουργούς της κυβέρνησης;"|"Α) Πρόεδρος, Β) Λαός, Γ) Πρωθυπουργός, Δ) Βουλή"|0|"Кто назначает министров правительства? А) Президент, В) Народ, Г) Премьер-министр, Д) Парламент"
14|"Πόσοι είναι οι Κύπριοι βουλευτές στο Ευρωκοινοβούλιο;"|"Α) 6, Β) 8, Γ) 4, Δ) 10"|0|"Сколько кипрских депутатов в Европарламенте? А) 6, В) 8, Г) 4, Д) 10"
15|"Πότε γιορτάζει η Κύπρος την ανεξαρτησία της;"|"Α) 1 Μαΐου, Β) 1 Οκτωβρίου, Γ) 28 Οκτωβρίου, Δ) 15 Αυγούστου"|1|"Когда Кипр празднует свою независимость? А) 1 мая, В) 1 октября, Г) 28 октября, Д) 15 августа"
16|"Σε ποιο οργανισμό η Κύπρος δεν είναι μέλος;"|"Α) Βρετανική Κοινοπολιτεία, Β) Ευρωζώνη, Γ) Ο Οργανισμός Ηνωμένων Εθνών, Δ) ΝΑΤΟ"|3|"В какой организации Кипр не является членом? А) Британское Содружество, В) Еврозона, Г) Организация Объединенных Наций, Д) НАТО"
17|"Σε ποια επαρχία ανήκει η Αγία Νάπα;"|"Α) Πάφου, Β) Αμμοχώστου, Γ) Λεμεσού, Δ) Κερύνειας"|1|"К какому району относится Айя-Напа? А) Пафос, В) Фамагуста, Г) Лимасол, Д) Кериния"
