Question Number|Question|Choices|Correct Answer|Translation
1|"Πόσος είναι ο πληθυσμός της Κύπρου (σύμφωνα με την τελευταία απογραφή του 2021);"|"Α) 918 χιλιάδες, Β) 2 εκατομμύρια, Γ) 690 χιλιάδες, Δ) 1,5 εκατομμύρια"|0|"Какое население Кипра (согласно последней переписи 2021 года)? А) 918 тысяч, В) 2 миллиона, Г) 690 тысяч, Д) 1,5 миллиона"
2|"Ποια είναι η έκταση της Κύπρου;"|"Α) 20.000 τετραγωνικά χιλιόμετρα περίπου, Β) 10.000 τετραγωνικά χιλιόμετρα περίπου, Γ) 9.251 τετραγωνικά χιλιόμετρα περίπου, Δ) 12.000 τετραγωνικά χιλιόμετρα περίπου"|2|"Какова площадь Кипра? А) около 20 000 квадратных километров, В) около 10 000 квадратных километров, Г) около 9 251 квадратных километров, Д) около 12 000 квадратных километров"
3|"Σημειώστε τις χώρες με τις οποίες συνορεύει η Κύπρος. Γεωγραφικά βρίσκεται νοτιοανατολικά (1)____, βόρεια (2)______, βορειοδυτικά (3)_______, δυτικά (4)____ και (5)_____, νότια (6)_____."|"Α) της Αιγύπτου, Β) της Ελλάδας, Γ) της Τουρκίας, Δ) της Συρίας, Ε) του Λιβάνου, Στ) του Ισραήλ"|0|"Укажите страны, с которыми граничит Кипр. Географически он расположен на юго-востоке (1)____, на севере (2)______, на северо-западе (3)_______, на западе (4)____ и (5)_____, на юге (6)_____. А) Египет, В) Греция, Г) Турция, Д) Сирия, Е) Ливан, С) Израиль"
4|"Από τη θάλασσα βρέχεται η Κύπρος;"|"Α) Ερυθρά, Β) Μαύρη, Γ) Μεσόγειο, Δ) Λευκή"|2|"Какое море омывает Кипр? А) Красное, В) Черное, Г) Средиземное, Д) Белое"
5|"Σημειώστε τις επαρχίες της Κύπρου αρχίζοντας από την πιο μικρή σε έκταση;"|"Α) Λευκωσία, Αμμόχωστος, Πάφος, Λεμεσός, Λάρνακα, Κερύνεια, Β) Πάφος, Αμμόχωστος, Λεμεσός, Λευκωσία, Λάρνακα, Κερύνεια, Γ) Κερύνεια, Λάρνακα, Λεμεσός, Πάφος, Αμμόχωστος, Λευκωσία, Δ) Αμμόχωστος, Πάφος, Κερύνεια, Λευκωσία, Λάρνακα, Λεμεσός"|2|"Укажите провинции Кипра, начиная с самой маленькой по площади? А) Никосия, Фамагуста, Пафос, Лимасол, Ларнака, Кериния, В) Пафос, Фамагуста, Лимасол, Никосия, Ларнака, Кериния, Г) Кериния, Ларнака, Лимасол, Пафос, Фамагуста, Никосия, Д) Фамагуста, Пафос, Кериния, Никосия, Ларнака, Лимасол"
6|"__________, στα 1952 μέτρα, είναι το υψηλότερο σημείο της Κύπρου."|"Α) Το Κυπαρισσόβουνο, Β) Η Δκιά, Γ) Όλυμπος, Δ) Πενταδάκτυλος"|2|"__________, на высоте 1952 метра, является самой высокой точкой Кипра. А) Кипариссовая гора, В) Дкия, Г) Олимп, Д) Пентадактилос"
7|"Σημειώστε την πόλη της Κύπρου που δεν βρέχεται από τη θάλασσα."|"Α) Πάφος, Β) Λευκωσία, Γ) Λάρνακα, Δ) Λεμεσός"|1|"Укажите город на Кипре, который не омывается морем. А) Пафос, В) Никосия, Г) Ларнака, Д) Лимасол"
8|"Ποια επαρχία έχει τη μεγαλύτερη έκταση;"|"Α) Πάφος, Β) Λευκωσία, Γ) Λάρνακα, Δ) Λεμεσός"|1|"Какая провинция имеет наибольшую площадь? А) Пафос, В) Никосия, Г) Ларнака, Д) Лимасол"
9|"Αποτελούν την πλειοψηφία του πληθυσμού."|"Α) Ελληνοκύπριοι, Β) Τουρκοκύπριοι, Γ) Μαρωνίτες, Δ) Αρμένιοι"|0|"Кто составляет большинство населения? А) Греко-киприоты, В) Турко-киприоты, Г) Марониты, Д) Армяне"
10|"Το αρχαίο όνομα της Λευκωσίας ήταν ____."|"Α) Σκάλα, Β) Λήδρα, Γ) Σαλαμίνα, Δ) Λάπηθος"|1|"Древнее название Никосии было ____. А) Скала, В) Лидра, Г) Саламин, Д) Лапитос"
11|"______έχτισαν τα πρώτα τείχη της Λευκωσίας."|"Α) Ελληνοκύπριοι, Β) Τουρκοκύπριοι, Γ) Μαρωνίτες, Δ) Φράγκοι"|3|"______ построили первые стены Никосии. А) Греко-киприоты, В) Турко-киприоты, Г) Марониты, Д) Франки"
12|"Της Κύπρου είναι η Λευκωσία."|"Α) Βουνό, Β) Παραλία, Γ) Πρωτεύουσα, Δ) Λιμάνι"|2|"Никосия является ____. А) горой, В) пляжем, Г) столицей, Д) портом"
13|"Η Λαϊκή Γειτονιά βρίσκεται."|"Α) στην Πάφο, Β) στη Λευκωσία, Γ) στη Λάρνακα, Δ) στη Λεμεσό"|1|"Лаики Гитония находится ____. А) в Пафосе, В) в Никосии, Г) в Ларнаке, Д) в Лимасоле"
14|"Το Καρναβάλι και η Γιορτή του Κρασιού οργανώνονται."|"Α) στην Πάφο, Β) στη Λευκωσία, Γ) στη Λάρνακα, Δ) στη Λεμεσό"|3|"Карнавал и Праздник Вина организуются ____. А) в Пафосе, В) в Никосии, Г) в Ларнаке, Д) в Лимасоле"
15|"Το πιο γνωστό κρασί ονομάζεται."|"Α) η Κουμανδαρία, Β) το Ούζο, Γ) η Ρακή, Δ) η Ρετσίνα"|0|"Самое известное вино называется ____. А) Командария, В) Узо, Г) Раки, Д) Рецин"
16|"Τι μοιράζει την Λευκωσία σε κατεχόμενη και ελεύθερη περιοχή;"|"Α) κόκκινη γραμμή, Β) κίτρινη γραμμή, Γ) πράσινη γραμμή, Δ) άσπρη γραμμή"|2|"Что делит Никосию на оккупированную и свободную зоны? А) красная линия, В) желтая линия, Г) зеленая линия, Д) белая линия"
17|"Το μεγαλύτερο λιμάνι της Κύπρου είναι."|"Α) στην Πάφο, Β) στη Λευκωσία, Γ) στη Λάρνακα, Δ) στη Λεμεσό"|3|"Самый большой порт на Кипре находится ____. А) в Пафосе, В) в Никосии, Г) в Ларнаке, Д) в Лимасоле"
18|"Το 2017 η πολιτιστική πρωτεύουσα της Ευρώπης ήταν."|"Α) Πάφος, Β) Λευκωσία, Γ) Λάρνακα, Δ) Λεμεσός"|0|"Культурной столицей Европы в 2017 году был ____. А) Пафос, В) Никосия, Г) Ларнака, Д) Лимасол"
19|"Η εκκλησία του Αγίου Λαζάρου χτίστηκε πριν."|"Α) 2000 χρόνια, Β) 1000 χρόνια, Γ) 1100 χρόνια, Δ) 1200 χρόνια"|2|"Церковь Святого Лазаря была построена ____. А) 2000 лет назад, В) 1000 лет назад, Г) 1100 лет назад, Д) 1200 лет назад"
