Question Number|Question|Choices|Correct Answer|Translation
1|"Ο Επιτάφιος, που συμβολίζει τον τάφο του Χριστού, περιφέρεται στις συνοικίες πόλεων και χωριών κατά τη Μεγάλη Παρασκευή."|"Α) του Πάσχα, Β) των Χριστουγέννων, Γ) της Πρωτομαγιάς, Δ) του Δεκαπενταύγουστου"|0|"Эпитафий, символизирующий гроб Христа, носится по кварталам городов и деревень в Великую пятницу. А) Пасхи, В) Рождества, Г) Первомая, Д) Успения"
2|"Την παραμονή της Πρωτοχρονιάς συνηθίζουμε να κόβουμε."|"Α) τη Βασιλόπιττα, Β) τη Φανουρόπιττα, Γ) το Χριστόψωμο, Δ) Τσουρέκια"|0|"На канун Нового года мы обычно режем: А) Василопиту, В) Фануропиту, Г) Христопсомо, Д) Цурекья"
3|"Αρχαιοελληνικό έθιμο, το οποίο διατηρήθηκε ως τις ημέρες μας είναι να βγαίνουν κυρίως μικρά παιδιά στους δρόμους και να λένε με μουσικά όργανα τα κάλαντα κατά την περίοδο."|"Α) του Δωδεκαημέρου των Χριστουγέννων (Χριστούγεννα, Πρωτοχρονιά, Φώτα), Β) του Πάσχα, Γ) του Δεκαπενταύγουστου, Δ) των Αποκριών"|0|"Древнегреческий обычай, который сохранился до наших дней - это выходить на улицы, в основном маленьким детям, и петь колядки с музыкальными инструментами в период: А) Двенадцатидневки Рождества (Рождество, Новый год, Крещение), В) Пасхи, Г) Успения, Д) Карнавала"
4|"Ένα από τα πιο χαρακτηριστικά έθιμα είναι να εκδράμουν οι οικογένειες στην εξοχή και τα παιδιά να πετούν χαρταετούς κατά."|"Α) τη Μεγάλη Παρασκευή, Β) την Καθαρά Δευτέρα, Γ) την Πρωτοχρονιά, Δ) τη Δευτέρα του Πάσχα"|1|"Один из самых характерных обычаев - выезд семей на природу и запуск детьми воздушных змеев в: А) Великую пятницу, В) Чистый понедельник, Г) Новый год, Д) Пасхальный понедельник"
5|"Αποκορύφωση της Μεγάλης Εβδομάδος του Πάσχα είναι να συγκεντρώνονται οι πιστοί στους ναούς, να λαμβάνουν σε λαμπάδες το άγιο Φως και να ακολουθούν πυροτεχνήματα κατά τη νύκτα."|"Α) της Μεγάλης Παρασκευής, Β) του Μεγάλου Σαββάτου, Γ) της Κυριακής του Πάσχα, Δ) των Θεοφανείων"|1|"Кульминация Страстной недели Пасхи - это собрание верующих в храмах, получение святого огня на свечи и фейерверки ночью: А) Великой пятницы, В) Великой субботы, Г) Пасхального воскресенья, Д) Богоявления"
6|"Τι είναι η μαγειρίτσα;"|"Α) Μαγειρευτό φαγητό που τρώγεται την πρώτη μέρα του νέου έτους, Β) Το εθνικό φαγητό των Ελλήνων, Γ) Παραδοσιακή σούπα με κρέας, που τρώγεται το βράδυ του Μεγάλου Σαββάτου, Δ) Παραδοσιακή, ηπειρώτικη πίττα με κρέας"|2|"Что такое магиритса? А) Приготовленное блюдо, которое едят в первый день нового года, В) Национальное блюдо греков, Г) Традиционный суп с мясом, который едят в ночь Великой субботы, Д) Традиционный эпирский пирог с мясом"
7|"Να γράψετε στο τετράδιο τον αριθμό της άσκησης και δίπλα να σημειώσετε ποια από τα παρακάτω έθιμα σχετίζονται με το α. Πάσχα και ποια με την β. Πρωτοχρονιά/ Φώτα."|"Βάψιμο κόκκινων αβγών, Ρίξιμο σταυρού στη θάλασσα, Περιφορά επιταφίου, Σπάσιμο ροδιού"|0|"Напишите в тетради номер упражнения и укажите, какие из следующих обычаев относятся к А) Пасхе и какие к б. Новому году/Крещению: Крашение красных яиц, Бросание креста в море, Ношение эпитафии, Разбивание граната"
8|"Να γράψετε στο τετράδιο τον αριθμό της άσκησης και δίπλα να σημειώσετε Σ για τη Σωστή απάντηση και Λ για τη Λανθασμένη."|"Α) Σαράντα ημέρες μετά τον θάνατο τελείται μνημόσυνο και φτιάχνουμε κόλλυβα, Β) Οι Καλλικάντζαροι, σύμφωνα με την παράδοση, είναι τα καλά πνεύματα των Χριστουγέννων που φέρνουν καλοτυχία, Γ) Όταν ξεκινάει η καινούρια σχολική χρονιά τελούμε αγιασμό, Δ) Όταν κάποιος αρρωσταίνει φτιάχνουμε Φανουρόπιττα για να γίνει καλά"|0|"Напишите в тетради номер упражнения и отметьте Σ для правильного ответа и Λ для неправильного: А) Сорок дней после смерти проводится поминальная служба и готовится коливо, В) Калликандзары, согласно традиции, это добрые духи Рождества, приносящие удачу, Г) Когда начинается новый учебный год, мы совершаем освящение, Д) Когда кто-то заболевает, мы готовим Фануропиту, чтобы он выздоровел"
9|"Σύμφωνα με τη Θεογονία του Ησίοδου, η θεά Αφροδίτη γεννήθηκε."|"Α) από τον αφρό της θάλασσας, Β) σε μία σπηλιά της Αφρικής, Γ) από τον άφρονα Κένταυρο Ακταίωνα, Δ) από την αφράτη ζύμη της αμβροσίας"|0|"Согласно Теогонии Гесиода, богиня Афродита родилась: А) из морской пены, В) в пещере Африки, Г) от безумного кентавра Актаеона, Д) из пышного теста амброзии"
10|"Ποιος συνθέτης μελοποίησε τον «Ύμνον εις την Ελευθερίαν» του Διουνσίου Σολωμού, που αποτελεί τον εθνικό ύμνο της Ελλάδας και της Κύπρου;"|"Α) Μανώλης Καλομοίρης, Β) Νικόλαος Μάντζαρος, Γ) Νίκος Σκαλκώτας, Δ) Γεώργιος Λαμπελέτ"|1|"Какой композитор положил на музыку «Гимн к свободе» Дионисия Соломоса, который является национальным гимном Греции и Кипра? А) Манолис Каломирис, В) Николаос Мандзарос, Г) Никос Скалькотас, Д) Георгиос Ламбетис"
